DATE,WIND,IND,RAIN,IND.1,T.MAX,IND.2,T.MIN,T.MIN.G,Month
1972-01-11,11.34,-0.332825031126971,1.4989812821455972,-0.3158328400115896,-1.04899661737506,-0.3951665103279866,-0.09809814739935546,-0.06372279194042421,1
1972-01-12,11.87,-0.332825031126971,-0.39428992263243556,-0.3158328400115896,-0.7477488240030667,-0.3951665103279866,-0.6667288643015039,-0.1374429447908457,1
1972-01-13,4.12,-0.332825031126971,3.0135982459680233,-0.3158328400115896,-1.1565851150079147,-0.3951665103279866,-1.2353595812036524,-1.2616752757597736,1
1972-01-14,16.08,-0.332825031126971,0.009607934386878073,-0.3158328400115896,-0.9414081197422053,-0.3951665103279866,-0.962416837090621,-1.0589448554211145,1
1972-01-15,15.34,-0.332825031126971,2.988354629904316,-0.3158328400115896,-1.2641736126407694,-0.3951665103279866,-0.5757479495971601,0.3048779723116834,1
1972-01-16,16.58,-0.332825031126971,0.41350579140619176,-0.3158328400115896,-1.027478917848489,-0.3951665103279866,-0.8941811510623633,-0.1374429447908457,1
1972-01-17,12.38,-0.332825031126971,0.13582601470541358,-0.3158328400115896,-1.04899661737506,-0.3951665103279866,-0.21182429077978515,0.15743766661084033,1
1972-01-18,12.33,-0.332825031126971,2.1805589158656886,-0.3158328400115896,-0.3173948334716478,-0.3951665103279866,-0.7349645503297617,-0.6534840147437961,1
1972-01-19,11.25,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.6514922041190463,-0.3951665103279866,-1.0988882091471368,-0.7640642440194285,1
1972-01-20,10.41,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.759080701751901,0.4604080564788266,-1.8949712128101446,-1.9067266132009617,1
1972-01-21,10.41,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-1.0920320164282018,-0.3951665103279866,-1.4173214106123397,-0.9667946643580876,1
1972-01-22,13.7,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-0.36043023252478995,-0.3951665103279866,-1.007907294442793,-0.001697141933952306,1
1972-01-23,13.0,-0.332825031126971,0.5144802556610201,-0.3158328400115896,-0.23132403536536397,-0.3951665103279866,0.37955165479844916,0.6919087747763962,1
1972-01-24,14.0,-0.332825031126971,-0.39428992263243556,-0.3158328400115896,-1.802116100805043,-0.3951665103279866,-1.326340495907996,-0.83778439686985,1
1972-01-25,9.13,-0.332825031126971,-0.21758461018648584,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-1.326340495907996,-1.0220847789959038,1
1972-01-26,12.87,-0.332825031126971,0.3630185592787775,-0.3158328400115896,-0.5540895282639281,-0.3951665103279866,-0.32555043416021484,0.23115781946126182,1
1972-01-27,18.05,-0.332825031126971,-0.44477715475984975,-0.3158328400115896,-1.3287267112204821,-0.3951665103279866,-0.7577097790058476,-0.5244737472555586,1
1972-01-28,14.04,-0.332825031126971,-0.2680718423139,-0.3158328400115896,-1.5439037064861916,-0.3951665103279866,-0.302805205484129,-0.2848832504916887,1
1972-01-29,14.92,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-2.081846194650465,-0.3951665103279866,-0.7122193216536759,-0.9667946643580876,1
1972-01-30,6.92,-0.332825031126971,0.4387494074698989,-0.3158328400115896,-2.340058588969317,0.4604080564788266,-1.8267355267818866,-1.0405148172085092,1
1972-01-31,12.5,-0.332825031126971,0.9941089608714552,-0.3158328400115896,-1.6514922041190463,0.4604080564788266,-4.078513165714395,-2.55177795064215,1
1972-02-01,17.29,-0.332825031126971,1.0950834251262835,-0.3158328400115896,-1.1565851150079147,-0.3951665103279866,-1.2353595812036524,-0.24802317406647795,2
1972-02-03,9.08,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.04899661737506,-0.3951665103279866,-0.5530027209210742,-0.24802317406647795,2
1972-02-04,6.04,-0.332825031126971,0.3377749432150705,-0.3158328400115896,-0.8338196221093506,0.4604080564788266,-1.9177164414862304,-2.017306842476594,2
1972-02-05,10.46,-0.332825031126971,-0.09136652986795032,-0.3158328400115896,-1.4793506079064789,0.4604080564788266,-1.4855570966405975,-0.001697141933952306,2
1972-02-06,1.92,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.1996205140610567,-0.3951665103279866,-1.349085724584082,-1.427545619673222,2
1972-02-07,3.33,-0.332825031126971,-0.06612291380424319,-0.3158328400115896,-1.1565851150079147,0.4604080564788266,-1.8039902981058007,-1.9067266132009617,2
1972-02-08,8.38,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-0.7477488240030667,0.4604080564788266,-1.6675189260492853,-1.777716345712724,2
1972-02-09,7.83,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-1.04899661737506,0.4604080564788266,-1.6902641547253712,-1.9988768042639886,2
1972-02-10,10.21,-0.332825031126971,1.2970323536359405,-0.3158328400115896,-0.9198904202156344,-0.3951665103279866,-0.6894740929775899,-0.4138935179799263,2
1972-02-11,11.46,-0.332825031126971,-0.11661014593165744,-0.3158328400115896,-1.2426559131141985,-0.3951665103279866,-0.7577097790058476,-1.2616752757597736,2
1972-02-12,13.67,-0.332825031126971,0.11058239864170646,-0.3158328400115896,-0.984443518795347,-0.3951665103279866,-1.1443786664993085,-1.280105313972379,2
1972-02-13,12.58,3.054235645298873,-0.47002077082355687,-0.3158328400115896,-1.1781028145344856,-0.3951665103279866,-1.1216334378232227,-1.372255505035406,2
1972-02-14,9.21,-0.332825031126971,1.5242248982093045,-0.3158328400115896,-0.984443518795347,-0.3951665103279866,-1.2353595812036524,-1.4644056960984329,2
1972-02-15,13.96,-0.332825031126971,0.0348515504505852,-0.3158328400115896,-0.683195725423354,-0.3951665103279866,-0.5984931782732461,-0.34017336512950486,2
1972-02-16,17.12,-0.332825031126971,0.31253132715136334,-0.3158328400115896,-1.4147975093267662,-0.3951665103279866,-0.37104089151238673,-0.22959313585387256,2
1972-02-17,14.17,3.054235645298873,-0.47002077082355687,-0.3158328400115896,-1.1565851150079147,-0.3951665103279866,-0.32555043416021484,0.19429774303605102,2
1972-02-18,12.96,3.054235645298873,-0.47002077082355687,-0.3158328400115896,-1.5439037064861916,-0.3951665103279866,-0.234569519455871,-0.4876136708303478,2
1972-02-19,4.33,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.6299745045924756,-0.3951665103279866,-0.4620218062167304,0.08371751376041885,2
1972-02-20,4.12,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.802116100805043,-0.3951665103279866,-0.43927657754064453,0.23115781946126182,2
1972-02-21,4.58,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-0.6667288643015039,-0.06372279194042421,2
1972-02-22,7.5,-0.332825031126971,-0.44477715475984975,-0.3158328400115896,-1.457832908379908,-0.3951665103279866,-0.5530027209210742,-0.026862715515213423,2
1972-02-23,14.12,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-1.027478917848489,-0.3951665103279866,-0.43927657754064453,0.08371751376041885,2
1972-02-24,14.42,-0.332825031126971,-0.4195335386961427,-0.3158328400115896,-1.4363152088533369,-0.3951665103279866,-0.25731474813195704,-0.04529275372781882,2
1972-02-25,7.5,-0.332825031126971,-0.44477715475984975,-0.3158328400115896,-1.1996205140610567,-0.3951665103279866,-0.2800599768080429,0.23115781946126182,2
1972-02-26,8.29,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-0.5971249273170702,-0.3951665103279866,-0.5530027209210742,-0.7272041675942177,2
1972-02-27,11.83,-0.332825031126971,-0.44477715475984975,-0.3158328400115896,-0.683195725423354,-0.3951665103279866,-1.1216334378232227,-1.427545619673222,2
1972-02-28,8.04,-0.332825031126971,-0.21758461018648584,-0.3158328400115896,-0.46801873015764467,-0.3951665103279866,0.17484459671367583,0.728768851201607,2
1972-02-29,8.58,-0.332825031126971,-0.2680718423139,-0.3158328400115896,-0.8553373216359215,-0.3951665103279866,-0.2800599768080429,-0.8746444732950607,2
1972-03-01,7.38,-0.332825031126971,-0.47002077082355687,-0.3158328400115896,-0.704713424949925,-0.3951665103279866,-1.2353595812036524,-1.5196958107362488,3
1972-03-02,10.88,-0.332825031126971,-0.21758461018648584,-0.3158328400115896,-1.113549715954773,0.4604080564788266,-1.8722259841340587,-2.0725969571144103,3
